RevId,UserId,ResId,Comment,image_urls,Food_score_cmt,Services_score_cmt,Atmosphere_score_cmt,Position_score_cmt,Price_score_cmt,Rating
1174898,1333701,275532,"Ghé quán vài lần rồi mà giờ mới nhớ viết review, quán có 2 món miến ngan nước và miến ngan trộn. Ngoài ra, muốn ăn nhậu chơi thì gọi ngan luộc ra nhậu cũmg được. Thỉnh thoảng buổi trưa có mấy tốp đến nhậu cũng khá xôm tụ.",https://images.foody.vn/res/g28/275532/s800/foody-hanh-lan-bun-mien-ngan-717-636170491270008421.jpg,8,7,6,7,8,7.2
1260870,1141468,275532,"Bún 30k 1 bát nhá~ Mình với bạn ăn 1 bún nước 1 bún trộn. Bún nước nhìn hấp dẫn mà hơi ít ít hay sao ý )) Mình thấy bún trộn trông ngon với đầy đặn hơn, thấy bạn mình ăn bảo ok, vị ngon mà thịt cũng đầy đặn nữa. Bún nước ở đây thì mình thấy nước hơi nhạt, ko biết có phải do mình ăn mặn ki nữa, mình phải đổ cả bát xì dầu vào ăn mới thấy đậm đà vừa miệng ý :(( Măng cũng khá mềm và ngon, đậm đà ko bị chua.
Điểm trừ là quán siêu đông, vì khu đó là khu văn phòng nên buổi trưa siêu đông luôn, mình phải đợi 15p mới có đồ mà ăn ý dù lúc đấy gần 1h rồi.","https://images.foody.vn/res/g28/275532/s800/foody-hanh-lan-bun-mien-ngan-414-636221246249410856.jpg,https://images.foody.vn/res/g28/275532/s800/foody-hanh-lan-bun-mien-ngan-583-636221246191660842.jpg,https://images.foody.vn/res/g28/275532/s800/foody-hanh-lan-bun-mien-ngan-963-636221246179605977.jpg,https://images.foody.vn/res/g28/275532/s800/foody-hanh-lan-bun-mien-ngan-785-636221246123759588.jpg",8,7,7,7,8,7.4
3057369,16159888,901272,Trưa nay mình có đặt 3 cốc. Uống chẳng thấy 1 tí vị trà nào mà còn lợ lợ. Vừa nhạt vừa nhiều đá. Phí tiền. Thấy quán giảm giá nên cũng đặt thử xem thế nào. Đúng là của rẻ là của ôi 😡 mình sẽ để comment ở đây cho mọi người biết mà né cái quán này ra. Kẻo vừa phí tiền lại mua bực vào người. Chốt lại là vô cùng vô cùng vô cùng tệ. Chắc chắn không bao giờ quay lại.,https://images.foody.vn/res/g91/901272/s800/foody-royaltea-doan-ke-thien-209-637033102226215961.jpg,1,1,1,1,1,1
1900985,1091072,639966,"Đợt này rộ lên nhiều quán buffet lẩu giá rẻ quá, toàn chỉ 100k hoặc trên 100k chút xíu thôi. Hóng hớt được chỗ này buffet chỉ 120k nên đi thử xem, thấy trên menu đồ nhúng ngoài bò Mỹ có thêm viên chiên ăn giống kiểu chả cá ấy, thịt gà với cả đồ ăn vặt cũng nhiều nữa như lạp xưởng, gà lắc phô mai. Không được như kì vọng, nước lẩu Thái nhạt nhẽo, đồ ăn vặt chán, được mỗi cái nước ở đây rẻ hơn tầm 15k thôi chứ không phải 20k, không quay lại đâu","https://images.foody.vn/res/g64/639966/s800/foody-tu-chef-buffet-lau-bo-my-983-636523984821150973.jpg,https://images.foody.vn/res/g64/639966/s800/foody-tu-chef-buffet-lau-bo-my-758-636523984819432065.jpg,https://images.foody.vn/res/g64/639966/s800/foody-tu-chef-buffet-lau-bo-my-865-636523984817869477.jpg,https://images.foody.vn/res/g64/639966/s800/foody-tu-chef-buffet-lau-bo-my-550-636523984816306826.jpg,https://images.foody.vn/res/g64/639966/s800/foody-tu-chef-buffet-lau-bo-my-387-636523984813962907.jpg",7,7,7,7,7,7
2640655,471631,888473,"Mình có đặt nem khoai qua công ty thì chỉ có nem rán ăn còn tạm ổn dù rán hơi già quá. Khoai tây và khoai lang thì ăn vừa cứng vừa khô như rán lại mấy chục lần vậy. Thêm 1 điểm trừ là túi tương ớt bung bét đầy túi dù đi có 700m, cái này chắc có cả 1 phần lỗi ship nữa.",https://images.foody.vn/res/g89/888473/s800/foody-nem-chua-ran-36-tam-thuong-tran-thai-tong-620-636937067358639863.jpg,4,5,5,10,7,6.2
9886556,11579565,1053384,"- quán này mới mở được 1 thời gian thôi à nên cũng không không quá đông. Khách ngồi ăn thoải mái.
-Mình gọi 2 bún cá chấm. Nước canh ngọt thanh, cá được chiên giòn ăn cùng vs bún cắt nhỏ khá ngon. Nước mắm chấm cá siêu ngon nha😚","https://images.foody.vn/res/g106/1053384/s800/foody-am-thuc-gia-phong-trung-hoa-165-637428110898461806.jpg,https://images.foody.vn/res/g106/1053384/s800/foody-am-thuc-gia-phong-trung-hoa-874-637428110898930604.jpg",8,8,8,8,8,8
2374858,13168424,652454,"Quanh khu này chỉ ăn được mỗi quán này! Nổi tiếng sạch sẽ lại ngon, dân xung quanh ăn đông lắm! Ngoài bún chả có thêm cả phở bò và bún sốt vang!","https://images.foody.vn/res/g66/652454/s800/foody-hoa-chau-bun-cha-nem-ran-941-636777544327211785.jpg,https://images.foody.vn/res/g66/652454/s800/foody-hoa-chau-bun-cha-nem-ran-165-636777544324086492.jpg",9,5,5,9,10,7.6
6707617,1656143,1012052,"Quán mở ở cùng khu chung cư mình ở lần đầu mình cho bọn trẻ ghé quán ăn trưa, cái đầu tiên nhìn đó là quán cũng rộng rãi sạch sẽ thoáng mát, giá cả thì cũng không quá rẻ, chất lượng thì ok( cái này tuỳ khẩu vị từng người 😉 ) nhân viên hơi lơ đễnh tí không nhanh nhẹn cho lắm. Thi thoảng sẽ quay lại ủng hộ quán.",https://images.foody.vn/res/g102/1012052/s800/foody-bun-cha-sinh-tu-hoang-dao-thuy-886-637314500966695602.jpg,10,7,10,10,7,8.8
1661326,1993953,677880,"Mình đã đi ăn món hấp ở 1 số noi nhưng cơ bản vẫn thích ở đây nhất. Nhà hàng khá dễ tìm, chỗ để xe thoải mái, 2 tầng thoáng mát sạch sẽ. Nhân viên cũng nhiệt tình chu đáo. 
Hôm mình đi là gọi set hấp 4 người và thêm món tonkatsu - thịt lợn chiên kiểu nhật. Set hấp 4 ng thì có rau củ quả, tôm, ngao, thịt bò, mọc và sườn sụn và sẽ hấp trên nồi tại bàn luôn. Ở dưới sẽ có cháo, phía trên là xửng để hấp các đồ kia. Ak có cả khai vị là cá khô chiên với lạc. Đồ ăn khá tươi. Và vì là hấp nên giữ được độ ngọt và độ ngậy của thức ăn. Mình thấy đặc biệt nhất là nước chấm. Mỗi người sẽ có đến 3-4 bát nước chấm cho từng loại thức ăn: có sốt chanh, sốt me, sốt chấm rau củ..... Loại nước chấm nào cũng rất ngon và hợp với đồ ăn. Mình thấy với các món hấp thì quan trọng nhất là nguyên liệu phải tươi và nước chấm phải ngon thì ở đây đều đáp ứng đc hết. 
Ak ngoài ra món tonkatsu cung ngon lắm. Thịt lợn chiên mềm, ngon, đậm đà. Lớp áo bột thì giòn. Món này khá là dễ ăn đấy và cũng là món bay sạch đầu tiên :))
Hài lòng và chắc sẽ quay lại nữa :)))
25 Nguyễn Thị Định nha các bẹn","https://images.foody.vn/res/g68/677880/s800/foody-the-isteam-restaurant-cac-mon-hap-viet-nam-831-636405046005458402.jpg,https://images.foody.vn/res/g68/677880/s800/foody-the-isteam-restaurant-cac-mon-hap-viet-nam-171-636405046001395590.jpg,https://images.foody.vn/res/g68/677880/s800/foody-the-isteam-restaurant-cac-mon-hap-viet-nam-388-636405045997489045.jpg,https://images.foody.vn/res/g68/677880/s800/foody-the-isteam-restaurant-cac-mon-hap-viet-nam-685-636405045993582475.jpg,https://images.foody.vn/res/g68/677880/s800/foody-the-isteam-restaurant-cac-mon-hap-viet-nam-140-636405045957485904.jpg,https://images.foody.vn/res/g68/677880/s800/foody-the-isteam-restaurant-cac-mon-hap-viet-nam-959-636405045951547966.jpg,https://images.foody.vn/res/g68/677880/s800/foody-the-isteam-restaurant-cac-mon-hap-viet-nam-122-636405045947328867.jpg,https://images.foody.vn/res/g68/677880/s800/foody-the-isteam-restaurant-cac-mon-hap-viet-nam-234-636405045943422312.jpg,https://images.foody.vn/res/g68/677880/s800/foody-the-isteam-restaurant-cac-mon-hap-viet-nam-591-636405045941547161.jpg",9,9,9,8,8,8.6
3763564,8150909,960137,"Rất thích cơm bò và cơm tôm ở đây. Đồ ăn luôn được bọc giấy bạc nên thức ăn luôn được nóng và hợp vệ sinh, không bị hộp nhựa ám vào thức ăn. Nên ăn rất yên tâm.

Cơm cá kho tiêu với cơm ba chỉ rang ăn tạm được. Ba chỉ kẻ rang xám vàng cho hành lá thôi là đủ ăn sẽ thơm và chuẩn vị hơn, thiếu vị thơm mặn của nước mắm nữa. Cơm cá kho tiêu vị ăn lạt, hơi khó ăn.",https://images.foody.vn/res/g97/960137/s800/foody-paradise-com-van-phong-online-cau-giay-378-637129067500539019.jpg,10,9,9,9,9,9.2
