ResId,Res_rating,streetAddress,district,region,Res_pos_score,Res_price_score,Res_food_score,Res_atmosphere_score,Res_services_score
275532,6.6,"10 Ngõ 76 Duy Tân, P. Dịch Vọng Hậu",Quận Cầu Giấy,Hà Nội,7.4,6.9,6.4,6.1,6.1
275532,6.6,"10 Ngõ 76 Duy Tân, P. Dịch Vọng Hậu",Quận Cầu Giấy,Hà Nội,7.4,6.9,6.4,6.1,6.1
901272,5.5,3A Ngõ 169 Doãn Kế Thiện,Quận Cầu Giấy,Hà Nội,5.9,5.8,5.4,5.1,5.1
639966,7.1,15 Ngõ 143 Quan Hoa,Quận Cầu Giấy,Hà Nội,7.5,7.4,7.0,6.9,6.8
888473,5.4,1 Hẻm 4 Ngách 64 Ngõ 44 Trần Thái Tông,Quận Cầu Giấy,Hà Nội,5.7,5.7,5.6,5.4,4.7
1053384,8.0,"112 Trung Hòa, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,8.0,8.0,8.0,8.0,8.0
652454,8.3,12H2 Ngõ 130 Xuân Thủy (Tập Thể Đại Học Sư Phạm),Quận Cầu Giấy,Hà Nội,9.0,8.9,8.2,8.2,7.4
1012052,6.6,"Nhà N04, Tòa UDic Complex, Hoàng Đạo Thúy",Quận Cầu Giấy,Hà Nội,8.5,7.5,7.5,5.0,4.5
677880,8.2,25 Nguyễn Thị Định,Quận Cầu Giấy,Hà Nội,8.5,8.5,8.3,7.8,7.8
960137,8.1,8 Trương Công Giai,Quận Cầu Giấy,Hà Nội,10.0,9.0,8.5,7.0,6.0
1056304,4.9,"18 Ngõ 170 Hoàng Ngân, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,6.0,5.3,5.0,4.7,3.3
753597,7.0,17 Ngõ 66 Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,7.0,7.0,7.0,7.0,7.0
731505,8.4,24 Nguyễn Thị Định,Quận Cầu Giấy,Hà Nội,9.8,8.8,8.8,7.5,7.3
950326,7.0,271 Nguyễn Khang,Quận Cầu Giấy,Hà Nội,10.0,7.0,7.0,6.0,5.0
150871,7.4,A15 Nghĩa Tân,Quận Cầu Giấy,Hà Nội,8.3,8.2,7.4,6.8,6.3
966409,8.9,"3 Ngõ 4/9 Dương Khuê, P. Mai Dịch",Quận Cầu Giấy,Hà Nội,9.0,8.9,8.9,8.8,8.8
311167,6.6,27 Nguyễn Phong Sắc,Quận Cầu Giấy,Hà Nội,7.2,7.1,6.5,6.2,6.1
1036165,4.6,"18 Ngõ 26 Đỗ Quang, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,5.6,4.8,4.6,4.0,3.8
83827,6.3,247 Nguyễn Ngọc Vũ,Quận Cầu Giấy,Hà Nội,6.7,6.6,6.1,6.1,5.8
248450,5.7,178 Hoàng Ngân,Quận Cầu Giấy,Hà Nội,6.0,6.0,5.7,5.3,5.3
661339,6.9,9 Ngõ 15 Tú Mỡ,Quận Cầu Giấy,Hà Nội,7.2,7.2,7.1,6.8,6.3
734824,6.2,19 Duy Tân,Quận Cầu Giấy,Hà Nội,6.5,6.4,6.3,6.1,5.8
83084,8.4,Đầu Ngõ 106 Hoàng Quốc Việt ,Quận Cầu Giấy,Hà Nội,8.8,8.7,8.2,8.1,8.1
864443,5.9,"293 Tô Hiệu, P. Dịch Vọng",Quận Cầu Giấy,Hà Nội,7.3,6.7,5.3,5.3,5.0
871205,7.9,136 Vũ Phạm Hàm,Quận Cầu Giấy,Hà Nội,8.3,8.3,8.0,8.0,7.0
25441,7.6,17T5 Hoàng Đạo Thúy,Quận Cầu Giấy,Hà Nội,7.8,7.8,7.7,7.7,6.8
723851,7.4,123C5 Tô Hiệu,Quận Cầu Giấy,Hà Nội,8.0,8.0,7.0,7.0,7.0
660295,6.4,241 Nguyễn Ngọc Vũ,Quận Cầu Giấy,Hà Nội,8.0,8.0,6.0,5.0,5.0
7266,7.9,13 lô 2C Trung Hòa,Quận Cầu Giấy,Hà Nội,8.6,8.3,8.0,7.7,7.1
1020982,7.1,24 Ngõ 68 Cầu Giấy,Quận Cầu Giấy,Hà Nội,8.1,7.4,7.0,6.6,6.6
272235,7.6,37A Ngõ 110 Trần Duy Hưng,Quận Cầu Giấy,Hà Nội,8.2,7.8,7.6,7.4,6.8
907504,6.1,"Tầng 5, Vincom Trần Duy Hưng",Quận Cầu Giấy,Hà Nội,7.9,6.1,6.1,5.3,5.2
272235,7.6,37A Ngõ 110 Trần Duy Hưng,Quận Cầu Giấy,Hà Nội,8.2,7.8,7.6,7.4,6.8
176237,7.1,Đối Diện 120C1 Nghĩa Tân,Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,6.8,6.2
1018756,7.9,59A Trung Kính,Quận Cầu Giấy,Hà Nội,8.2,8.0,8.0,7.7,7.7
997105,7.6,"57 Ngõ 165 Dương Quảng Hàm, P. Quan Hoa",Quận Cầu Giấy,Hà Nội,8.0,8.0,8.0,7.0,7.0
1047681,7.0,78 Nguyễn Khánh Toàn,Quận Cầu Giấy,Hà Nội,7.3,7.0,7.0,7.0,6.8
980044,10.0,Ngách 1 Ngõ 106 Hoàng Quốc Việt,Quận Cầu Giấy,Hà Nội,10.0,10.0,10.0,10.0,10.0
937113,4.7,38 Ngõ 445 Nguyễn khang,Quận Cầu Giấy,Hà Nội,4.8,4.8,4.8,4.8,4.5
937113,4.7,38 Ngõ 445 Nguyễn khang,Quận Cầu Giấy,Hà Nội,4.8,4.8,4.8,4.8,4.5
660112,6.0,97 Nguyễn Thị Định,Quận Cầu Giấy,Hà Nội,8.0,7.0,6.0,5.0,4.0
917166,8.3,90 Trần Thái Tông,Quận Cầu Giấy,Hà Nội,8.5,8.5,8.5,8.0,8.0
976990,7.3,Nhà T2 Ngõ 210 Hoàng Quốc Việt,Quận Cầu Giấy,Hà Nội,7.8,7.5,7.3,7.1,6.7
976990,7.3,Nhà T2 Ngõ 210 Hoàng Quốc Việt,Quận Cầu Giấy,Hà Nội,7.8,7.5,7.3,7.1,6.7
976990,7.3,Nhà T2 Ngõ 210 Hoàng Quốc Việt,Quận Cầu Giấy,Hà Nội,7.8,7.5,7.3,7.1,6.7
976990,7.3,Nhà T2 Ngõ 210 Hoàng Quốc Việt,Quận Cầu Giấy,Hà Nội,7.8,7.5,7.3,7.1,6.7
976990,7.3,Nhà T2 Ngõ 210 Hoàng Quốc Việt,Quận Cầu Giấy,Hà Nội,7.8,7.5,7.3,7.1,6.7
976990,7.3,Nhà T2 Ngõ 210 Hoàng Quốc Việt,Quận Cầu Giấy,Hà Nội,7.8,7.5,7.3,7.1,6.7
787815,7.2,232A Yên Hòa,Quận Cầu Giấy,Hà Nội,7.8,7.5,7.3,7.3,6.3
976990,7.3,Nhà T2 Ngõ 210 Hoàng Quốc Việt,Quận Cầu Giấy,Hà Nội,7.8,7.5,7.3,7.1,6.7
222764,5.5,112 Dương Quảng Hàm,Quận Cầu Giấy,Hà Nội,7.0,5.7,5.0,5.0,4.7
201055,4.6,107 C1 Trần Tử Bình,Quận Cầu Giấy,Hà Nội,5.0,4.7,4.7,4.3,4.3
976990,7.3,Nhà T2 Ngõ 210 Hoàng Quốc Việt,Quận Cầu Giấy,Hà Nội,7.8,7.5,7.3,7.1,6.7
929670,8.2,750 Đường Láng,Quận Cầu Giấy,Hà Nội,8.4,8.3,8.2,8.1,8.0
929670,8.2,750 Đường Láng,Quận Cầu Giấy,Hà Nội,8.4,8.3,8.2,8.1,8.0
629733,6.5,Ngõ 130 Xuân Thuỷ,Quận Cầu Giấy,Hà Nội,7.0,7.0,6.7,6.5,5.3
929670,8.2,750 Đường Láng,Quận Cầu Giấy,Hà Nội,8.4,8.3,8.2,8.1,8.0
929670,8.2,750 Đường Láng,Quận Cầu Giấy,Hà Nội,8.4,8.3,8.2,8.1,8.0
629733,6.5,Ngõ 130 Xuân Thuỷ,Quận Cầu Giấy,Hà Nội,7.0,7.0,6.7,6.5,5.3
929670,8.2,750 Đường Láng,Quận Cầu Giấy,Hà Nội,8.4,8.3,8.2,8.1,8.0
201055,4.6,107 C1 Trần Tử Bình,Quận Cầu Giấy,Hà Nội,5.0,4.7,4.7,4.3,4.3
929670,8.2,750 Đường Láng,Quận Cầu Giấy,Hà Nội,8.4,8.3,8.2,8.1,8.0
929670,8.2,750 Đường Láng,Quận Cầu Giấy,Hà Nội,8.4,8.3,8.2,8.1,8.0
929670,8.2,750 Đường Láng,Quận Cầu Giấy,Hà Nội,8.4,8.3,8.2,8.1,8.0
787815,7.2,232A Yên Hòa,Quận Cầu Giấy,Hà Nội,7.8,7.5,7.3,7.3,6.3
787815,7.2,232A Yên Hòa,Quận Cầu Giấy,Hà Nội,7.8,7.5,7.3,7.3,6.3
