UserId,Total_reviews,Followers
1333701,664,171
1141468,307,273
16159888,6,1
1091072,252,191
471631,2,64
11579565,910,65
13168424,6,0
1656143,22,64
1993953,85,73
8150909,6,0
135154,462,93
10151976,500,19
38176,42,155
954381,421,369
1900457,321,70
17705934,2,0
12946884,1,0
1992069,1,31
1809177,274,78
105840,32,57
16882889,1,0
11926975,1,0
727390,81,10
8991442,101,36
135451,538,234
8923713,13,3
804620,1,2
9935322,24,0
75590,150,84
9644679,21,0
10303553,237,22
15744432,11,1
285433,156,43
12440737,3,0
20098487,1,0
17529737,16,1
16218795,4,0
9692282,1,0
8258117,5,20
14409160,1,0
14714567,12,0
2079659,64,80
18324675,1,0
12570022,1,0
9979740,37,3
13039717,1,0
18449149,1,0
965942,21,319
1674390,373,345
2004998,54,21
850301,173,523
2180886,25,3
1360642,17,33
17898532,2,0
15321102,0,0
729999,146,44
12479909,1,0
17584932,1,0
1882179,439,326
17905758,1,0
95049,241,87
2016378,320,34
2014157,5,72
1515345,1,0
118026,583,96
535157,1085,1466
12202619,9,0
12135967,26,0
480953,350,15
46288,610,153
9596263,4,0
8631204,22,56
10953154,3,0
2163141,1,60
331432,13,65
2144585,3,97
1136763,29,174
1599968,81,80
9461421,2,2
23821332,1,0
16441515,23,0
1100852,263,161
361745,29,64
15584694,1,0
56755,195,159
1936439,1,35
15868406,1,0
255710,776,277
1702694,124,25
17224942,1,0
15524478,0,0
13180369,1,0
11875106,1,0
16130036,1,0
1331038,2,6
10281419,6,0
16017423,1,0
850699,1,653
1090054,107,34
13892157,1,0
11677222,9,0
11908065,1,0
1755617,196,51
216555,19,8
2006202,84,23
1109571,30,61
9581743,31,4
9892802,3,0
8439488,84,6
18233523,1,0
14778192,1,0
15010077,1,0
17928616,1,0
9128929,3,0
19010198,1,0
525529,393,102
1412006,1,136
8749670,1,71
19073494,1,0
1762240,206,50
18356668,2,0
9445920,5,0
9799337,9,0
1678229,228,204
2181290,5,52
9211970,266,213
11377621,8,1
61806,402,614
12148102,13,0
1505742,77,111
12180699,2,0
1498127,66,186
1919019,57,22
21638109,2,0
18905545,37,0
16275073,1,0
1550732,278,78
479293,7,1
848189,4,95
931615,765,288
152474,1314,749
1820101,370,146
8898438,96,75
710772,203,267
9247230,43,2
2286501,6,8
647555,107,140
8626031,44,18
8868171,42,30
9461096,39,3
1550219,4,18
18669827,1,0
883472,2,34
1757678,27,9
2302850,8,26
431508,141,121
12155223,12,0
18705330,12,0
18730820,7,0
18795265,8,0
18708034,15,0
803874,91,102
594505,3,24
134373,741,433
11675996,1,0
15659492,1,0
266122,450,60
12376360,1,0
11865143,1,0
9986059,1,0
8860430,1,1
14979496,2,0
11333682,18,0
15386600,3,0
1796677,1,6
7467,276,469
14198160,505,12
637177,977,965
476668,11,52
9755373,1,0
15396581,42,0
779595,4,44
586198,403,90
10853372,1,0
286367,32,36
8296274,30,3
802587,2,18
757855,18,0
8777194,7,15
9155457,1,0
14475567,1,0
167655,3,1
14112205,1,0
20962097,1,0
8979594,175,195
9499654,65,2
213886,746,1053
697726,2,65
237757,1,11
253042,4,288
11929093,2,0
340189,60,8
14825226,1,0
9747613,21,1
12593467,1,0
75340,184,103
14397873,2,0
166916,222,67
10774508,30,0
12981008,2,0
13015360,1,0
12634344,1,0
9638243,3,0
9146389,57,7
839820,591,274
1391144,325,167
801058,31,5
140268,28,11
23506344,1,0
22318917,1,0
23506529,1,0
1328965,1,0
23506469,1,0
12252501,1,0
8146435,26,2
14862618,2,0
16078015,2,0
8146991,77,15
1333469,148,115
9297207,3,0
51027,149,94
172130,102,17
1990712,810,425
971749,739,445
161364,96,91
1095651,294,223
11041195,4,0
1599070,7,275
11591026,3,0
2097656,4,93
11582762,10,0
281933,386,143
2236236,62,2
8974608,1,130
2114238,2,8
470448,25,9
8672017,29,192
445242,96,152
11738865,6,0
740268,385,308
616912,531,268
9173104,64,13
17317985,18,0
12008378,14,1
57570,346,209
8477984,5,55
9822178,3,0
176782,515,311
10674653,45,0
769930,6,28
11937077,33,0
13766371,2,0
14301965,1,0
1795271,212,245
18982985,7,0
8116043,41,2
9929015,2,0
9531441,29,0
840309,65,28
350629,5,51
13179275,2,0
13173164,42,0
16132542,1,0
1333443,1,139
19809828,1,0
1151923,31,1
9508098,298,79
16396012,1,0
15831180,1,0
17784270,2,0
1647039,685,400
123423,1112,621
1753757,8,0
18214210,2,0
274519,409,332
8412928,2,0
106474,3,63
8883203,40,1
8486290,11,4
10408244,1,0
6330,70,64
1131564,32,407
21995185,1,0
4249,1488,4990
18537981,2,0
379194,188,60
1477995,483,326
13538219,1,0
910991,2,7
668060,6,74
942119,2,57
10884466,14,0
1492905,810,219
17872494,1,0
11844264,5,0
14219076,2,0
21784585,1,0
18711308,1,0
22002008,1,0
18962920,2,0
21015353,1,0
594116,209,136
988890,191,36
11487617,1,0
9365765,2,3
824096,2,3
91806,11,9
13613221,1,0
19724459,1,0
13580573,7,0
18233831,2,0
822968,148,12
172895,21,48
9441585,2,0
11133829,1,0
10946353,1,0
380,107,915
16615580,44,0
15616668,146,5
210068,126,301
78944,239,84
1372300,23,104
11048918,6,1
1958288,67,94
274832,158,119
9168459,85,5
528565,199,406
62361,96,22
108253,448,487
9280290,30,0
9437789,118,6
13008371,1,0
277254,107,74
2002670,48,57
1396036,1010,695
8245979,2,6
9005255,35,61
595368,14,45
1294449,56,70
415395,138,163
977153,3,22
1758926,185,109
155274,15,9
955767,256,136
1723345,3,0
825474,100,88
911049,3,543
9349384,1,0
9697431,57,2
490772,55,457
1145367,52,30
8389247,11,0
937446,31,253
11585624,129,6
12284679,4,0
8714428,5,47
309729,1,45
9328490,8,82
1997277,1,48
944114,893,875
667723,20,61
10965178,1,0
9800631,21,1
12880362,3,0
17569745,1,0
17569996,1,0
595435,12,28
1559006,52,65
11597124,3,5
2197399,17,23
1322292,393,154
10118660,11,0
1292210,20,0
9996021,1,0
2251969,2,24
734248,12,29
258313,35,0
15394410,1,0
15483767,3,0
1356913,47,212
2082767,7,15
392583,174,90
1568194,1,0
445057,8,34
16093497,1,0
946236,2,40
676712,111,232
1520931,10,36
11530752,24,0
13784572,1,0
818169,168,69
1505128,1,51
985002,257,237
14739240,1,0
9415386,54,1
11730332,28,0
94779,9,50
9493128,4,0
1658865,3,94
1109431,41,89
13606833,32,2
9065778,72,3
2185910,1,0
9109156,1,1
9246891,2,2
143301,393,230
52923,185,148
2102717,4,1
8499466,207,38
1875579,18,162
1685023,17,37
964555,7,0
10004864,6,0
11672492,33,1
8468555,9,21
12625308,71,2
194030,211,77
1284477,6,49
10322682,3,0
278834,1,95
9605020,27,3
18256623,51,0
12252949,12,0
366197,7,25
15180575,1,0
543135,1,0
8359063,49,1
120814,26,10
680285,3,53
1459331,1,5
180289,51,16
1090390,390,162
8890939,2,1
23300377,45,0
502786,286,138
1959672,28,31
23340810,45,0
23340921,41,0
23340937,38,0
23300404,51,0
23340948,48,0
23340870,42,0
23340886,43,0
23298630,63,0
2145004,1,51
20642252,2,0
23340899,37,0
1525735,11,389
13286559,1,0
11951265,1,0
11781784,35,2
1688854,29,4
8285397,1,9
10323185,3,0
366541,20,66
15571282,3,0
13398480,14,0
12658247,3,0
11377549,61,1
16221739,2,0
16204708,1,0
11286356,3,0
16645704,1,0
11095448,58,4
11665346,7,2
12116078,11,0
938430,3,57
8155025,11,49
20029708,1,0
15689881,1,0
735754,359,502
13698325,215,4
994047,11,6
993486,322,294
77119,1,0
9745608,15,0
20230821,1,0
1571975,7,46
1882181,443,249
904612,4,0
17708752,1,0
983104,174,140
1831172,49,188
15571532,2,0
1150562,117,24
8184113,3,72
13652362,1,0
1577402,1,346
1541183,107,23
18155405,1,0
20230653,1,0
17579329,1,0
20771498,1,0
9209143,9,0
20234948,1,0
21165506,1,0
20231526,1,0
12224475,1,0
9951319,1,0
1780042,33,55
15091090,1,0
10168953,41,2
8610623,30,0
2008236,19,30
53795,195,172
1688753,137,23
2101566,5,143
475574,127,115
9934895,25,0
12080632,1,0
14950479,1,0
8444442,26,127
9026406,1,8
1317570,6,78
9847451,10,0
15232664,43,2
9191239,24,4
9148085,7,0
921283,7,439
14457639,1,0
1091657,32,44
1592742,11,62
12345615,2,0
9163887,68,8
1366251,8,84
8118020,5,0
9225457,42,2
737412,44,82
2154773,69,28
574290,24,9
20196225,2,0
8275926,1,16
724367,5,47
15438967,6,0
8735521,6,8
18523902,1,0
18030593,1,1
14259391,2,0
281807,4,37
14315195,6,0
9008621,2,294
1690274,9,98
11707029,1,0
8769972,3,37
12375453,6,0
13274362,43,2
224229,63,12
11012430,2,0
18465076,1,0
9371576,13,0
1439085,40,10
1365064,1055,330
8462168,4,18
352525,148,167
14128839,1,0
11060509,2,0
