RevId,UserId,UserName,Rating,Comment,image_urls,ResId,streetAddress,district,region,Res_pos_score,Res_price_score,Res_food_score,Res_atmosphere_score,Res_services_score,Food_score_cmt,Services_score_cmt,Atmosphere_score_cmt,Position_score_cmt,Price_score_cmt,Total_reviews,Followers,images
4527738,9652142,Tú Nguyễn,1,Có mỗi 2 suất mà bắt chờ đến 20 phút cũng chưa có hỏi nhân viên thì thái độ lồi lõm bảo anh chờ tí ! 20 phút là chưa đủ à thái độ rất tệ cạch đến già,,40332,104 -105B C3 Tập Thể Nghĩa Tân,Quận Cầu Giấy,Hà Nội,7.0,6.8,6.6,6.4,6.1,1,1,1,1,1,1,0,
2148095,9768651,Phúc Phan Thiên,6,"Mình là du khách từ sài gòn vô nên đi rất khó tìm vì đường Nguyễn Khang nó chia thành 2 đường, đường số chẵn và đường số lẻ. 

Địa chỉ đúng là 100 nguyễn khang nhé các bạn. Ngay chùa, mặt tiền sát bờ sông.

Miền bắc nấu tào phớ khác miền nam một chút. Người miền nam ăn ko quen sẽ thấy rất lạt chứ ko đậm vị như sài gòn nhé. 

Tuy nhiên điểm cộng là lâu lâu ăn khác vị cũng lạ và nên thử 1 lần nhé.

Ý kiến riêng thôi.",,157396,100 Nguyễn Khang,Quận Cầu Giấy,Hà Nội,8.7,8.5,7.9,7.7,7.2,7,2,10,1,10,1,0,
4242097,12224126,Rill Vn,10,"Bánh mì sốt vang ăn ở đây khá đầy đặn mà chuẩn toàn thịt bò nữa, k bị ngọt vị mì chính như nhiều quán khác. Sẽ ủng hộ quán nhiều",,1005239,25 Ngõ 331 Nguyễn Khang,Quận Cầu Giấy,Hà Nội,9.6,9.2,9.0,9.0,8.0,10,10,10,10,10,1,0,
4321332,19440258,Thu trang trần Thu,8.2,"Nước sốt vưa. Thịt thơm không bị mùi gây. Ăn khá vừa
Miệng.
Đóng gói gọn gàng đây đủ. Sẽ còn ủng hộ quán",,1005239,25 Ngõ 331 Nguyễn Khang,Quận Cầu Giấy,Hà Nội,9.6,9.2,9.0,9.0,8.0,10,8,10,5,8,1,0,
7760510,21261723,haiimy29,10,"Mình lần đầu được trải nghiệm ăn ở quán thật sự rất hài lòng 
Nhân viên nhanh nhẹn , thân thiện nhiệt tình với khách hàng , phục vụ rất chu đáo , gói đồ cũng rất là ngọn gàng sạch sẽ 
Mình sẽ ủng hộ quán dài dài nha",https://images.foody.vn/res/g97/964572/s800/foody-sua-chua-tran-chau-ha-long-to-hieu-305-637350962816418360.jpeg,964572,219 Tô Hiệu,Quận Cầu Giấy,Hà Nội,9.0,8.9,8.7,8.7,8.6,10,10,10,10,10,1,0,"[{'url': 'https://images.foody.vn/res/g97/964572/s800/foody-sua-chua-tran-chau-ha-long-to-hieu-305-637350962816418360.jpeg', 'path': 'foody-sua-chua-tran-chau-ha-long-to-hieu-305-637350962816418360.jpeg', 'checksum': '906c3892eaa8a8ebea2b053e96a26b2d', 'status': 'downloaded'}]"
1968722,357413,Toan,6.2,"Nhà hàng phục vụ khá ổn, mặc dù nhân viên hoàn toàn là người Triều Tiên. Đồ ăn ngon, giá không quá chát so với các quán buffet khác",,279841,"7 Lô 13B Trung Hòa, KĐT Trung Yên",Quận Cầu Giấy,Hà Nội,7.3,7.0,7.0,6.7,5.7,8,6,7,3,7,1,14,
2725949,9475465,Linh Le,5.2,"Mình hay mua đồ ở abby NCT nên biết đc savor này. Hôm nay đặt thử grabfood savor hồ tùng mậu 1 bánh mì tiêu đen đặc biệt, 1 sữa chua uống, 1 hồng trà tổng 60k nhưng được free bởi km 100%. 
Nói chung là cũng khá ok. Lúc ăn thấy ngon nhưng ăn xong không nhớ vị vì vậy muốn đặt lại e là khó vì nếu đc lựa chọn thì mình ăn donke 15k mà cũng ngon hơn.",,922857,126 Hồ Tùng Mậu,Quận Cầu Giấy,Hà Nội,7.3,7.3,7.3,7.3,6.5,6,6,5,5,4,2,1,
1068459,1333701,Rose Rose,7.2,"Đây là quán bún miến ngan có tiếng ở khu vực này, quán có 2 tầng và khá đông khách nhưng phục vụ nhanh. Bàn ghế nhựa thấp ngồi không được thoải mái lắm. Quán có bún ngan, mộc và miến ngan trộn. Mình và chị đồng nghiệp gọi bún ngan và mộc lẫn ăn khá ngon. Bát bún đầy đặn có nhiều măng, quán còn có một thẩu măng cay ăn cùng nữa nên hợp vị với mình, ăn rất no. Giá cả khá hợp lý, chỉ 30k/bát. Đói quá nên mình chăm chỉ ăn mà quên không chụp hình.",,275532,"10 Ngõ 76 Duy Tân, P. Dịch Vọng Hậu",Quận Cầu Giấy,Hà Nội,7.4,6.9,6.4,6.1,6.1,8,7,7,7,7,664,171,
248637,593572,Hằng Nga,8.2,"Nói chung là quán này làm ngon, chất lượng và giá cả đều ổn","https://images.foody.vn/res/g13/126583/s800/foody-banh-mi-yen-hoa-864-635627110812343922.jpg,https://images.foody.vn/res/g13/126583/s800/foody-banh-mi-yen-hoa-546-635627110682239694.jpg,https://images.foody.vn/res/g13/126583/s800/foody-banh-mi-yen-hoa-365-635627110614067574.jpg,https://images.foody.vn/res/g13/126583/s800/foody-banh-mi-yen-hoa-728-635627110556035472.jpg,https://images.foody.vn/res/g13/126583/s800/foody-banh-mi-yen-hoa-759-635627110474603329.jpg",126583,161 Yên Hòa,Quận Cầu Giấy,Hà Nội,7.7,7.3,7.3,6.7,6.3,8,9,8,8,8,1,0,"[{'url': 'https://images.foody.vn/res/g13/126583/s800/foody-banh-mi-yen-hoa-864-635627110812343922.jpg', 'path': 'foody-banh-mi-yen-hoa-864-635627110812343922.jpg', 'checksum': '4f9365e1773b9bcb8ac74fb762cfff7b', 'status': 'downloaded'}, {'url': 'https://images.foody.vn/res/g13/126583/s800/foody-banh-mi-yen-hoa-546-635627110682239694.jpg', 'path': 'foody-banh-mi-yen-hoa-546-635627110682239694.jpg', 'checksum': '28bcf2ff2a6a5e2e442ef6ffe39f4082', 'status': 'downloaded'}, {'url': 'https://images.foody.vn/res/g13/126583/s800/foody-banh-mi-yen-hoa-365-635627110614067574.jpg', 'path': 'foody-banh-mi-yen-hoa-365-635627110614067574.jpg', 'checksum': 'a24da12e0525b37c26b660913ce0a9cf', 'status': 'downloaded'}, {'url': 'https://images.foody.vn/res/g13/126583/s800/foody-banh-mi-yen-hoa-728-635627110556035472.jpg', 'path': 'foody-banh-mi-yen-hoa-728-635627110556035472.jpg', 'checksum': '1f48e876380c1d86dcdc08ffcdfab19f', 'status': 'downloaded'}, {'url': 'https://images.foody.vn/res/g13/126583/s800/foody-banh-mi-yen-hoa-759-635627110474603329.jpg', 'path': 'foody-banh-mi-yen-hoa-759-635627110474603329.jpg', 'checksum': '688374bd7f08062bd8403008c9ce738a', 'status': 'downloaded'}]"
5140402,1997698,Hà Vy  Nguyễn,2,"Đồ ăn bình thường. Được cái là nhiều, đầy đặn. Được cái nữa là đông vãi cả đông. Cứ xác định vào chờ từ 15p-1 tiếng mới có mà ăn nhé. Quán có ghi số bill cho từng bàn. Mà ghi để làm gì khi mà thằng vào sau vẫn cứ được ăn trước????? 
Phục vụ như ***. Thân!",,275532,"10 Ngõ 76 Duy Tân, P. Dịch Vọng Hậu",Quận Cầu Giấy,Hà Nội,7.4,6.9,6.4,6.1,6.1,5,1,1,1,2,10,194,
